swetha k Nee ingayum wanthutiya homo 9 !! Homo ku over support ah irukke sari illaye 👎🏽 un koodhiya kilicha taan sari,,,,,,,,,,,,,,,
Mohamed Ali unga hormones ah Ena iruku Adhu than bro Veliya Varum... vibathunu solringa illaya adhu epadi Ninga vibathunu solrinya endha lesbian r gay Vanthu solli irukangala inthanala than Ena straight ah Irunthu gay ah lesbians  ah marinen nu,,,,,,,,,,,,,,,
swetha k ,so lesbian ,gay ellame romba romba thavaru.....intha Mari seiravanga lam romba thappu seiravanga.,,,,,,,,,,,,,
swetha k ,Bible Quran la lam adhu miga periya pavam nu pottu irruku.,,,,,,,,,,,,,,
swetha k ,jack the ripper Mari ,unna Mari alugala kolla atkal varanum...,,,,,,,,,,,,,
swetha k ,naa yarayum rape panna la,ana nee lesbian pannra.pathukoo.naa thappu pannathavan,enna unga boys rape panranga nu sola than mudyum,particular aa enna sola mudiyathu,ana unna Mari lesbian aa particular aa nee thappu panra naaye  nu naa solla mudiyum.,,,,,,,,,,
Yen kita pesi irudha savaadi adichi irupa naye,,,,,,,,,,,,,,,
ippdi iruntha approm.eppdi intha thevadiya pasangala mathikkratham.intha 9 pundaingala oru time busla vittu veluthu irukken ivlo per vedikkai pakringa mmm....,,,,,,,,,,,,,,,
Pichai edukkum thirunangai galey rosathia unga ullsppuuley varey kasukku vangi sapta nyayam.,,,,,,,,,,,,,,,
Public ellorum sernthu intha panningala vaaiya odaikanum,,,,,,,,,,,,,,,
Avala aduchu munchiya odachu irukkanum........evlovo nallavagalam irukkaga ..ippadi pannuravagalala than ella thirunangaikkum ketta peru?,,,,,,,,,,,,,,,
ada che evalukala kummala sernthu serupala adicha than,,,,,,,,,,,,,,,
Indha polapukku sethudunga daa 9dhu thevidiyaapasangalaa,,,,,,,,,,,,,,,
podi. 9 punda,,,,,,,,,,,,,,,
Venkat Raman ; 9 punda jinjuk poda vanthutan,,,,,,,,,,,,,,,
Ivangala vetti podanum ivangala ippadiye vittomna treinla nalla padiya engaium poga mudiyathu thevdiyamundaingala kathi eduthu vailiye vettanum,,,,,,,,,,,,,,,
Night fulla mater ku alaiuradhu day fulla pichaiku alaiuradhu idhula louds paaru potta p___a...,,,,,,,,,,,,,,,
Thevidiya naainga vandha sevula vidunga,,,,,,,,,,,,,,,
9 naiga ethugalailam ninka vatchu vettanum seruppulaiye atikkanum,,,,,,,,,,,,,,,
Nariya oombirupa pola potta thevidiya paiya omala vantha avalootha tuuu 🗣️,,,,,,,,,,,,,,,
@Nagarjun Rajeshwaran  நீ சப்படா.......,,,,,,,,,,,,,,,
Unnaiylam savudikanum dii,,,,,,,,,,,,,,,
Lesbien kudhi nayai west culture namma naatuyai azhika podhu,,,,,,,,,,,,,,,
Ivaluku ennamo noi iruku...mental mari pesura,,,,,,,,,,,,,,,
vayathavira yellam pesuthu loosu loosu.muthiiii pochi.kovam than varuthu😡,,,,,,,,,,,,,,,
Yae paithiyakari different ah irukirom pesuromu perumai paaratha.. arivilathavalae,,,,,,,,,,,,,,,
avan ponnu Mathiri ye illa ye,,,,,,,,,,,,,,,
Innom konjo nalla adulteryum seiya sattam vanthurum pongada,,,,,,,,,,,,,,,
Ishvar Mahendiran apram avanga pesuna mathuri innaki judgement illegal affair legal ayiruchu...yepti ithuvum oru thani patta manusanoda feelings nu support pannunga.....apo kalam fulla nee enaku nan unaku nu commit anavanga roadla pogatum......,,,,,,,,,,,,,,,
Thambi nee  ponna paiyana...,,,,,,,,,,,,,,,
Gays and lesbians irundha unga aall mattum irundha podhum illa unnaku. amma, appa family vaennava pa.. ; Unnakku pakkathulla edhachi plant and animal irundha paran there live for others. 5 sense irukka adhuvae mathavangallu vallura appo. Ne 6 sense irukka person ne mathavagalukkaga vala venda but ne ipdi gay irukka karamana unnoda family kaga valalamae, avanga ista padi.. kudha aafis,,,,,,,,,,,,,
Ival oru demon because alleevin arambam,,,,,,,,,,,,,,,
Mersal dialogue update note my mark ethirkalathula oru ponnu kolandha pethukittalea atha ellarum athisaaiaama papanga pirapu enbatheaah illamal poividum manitha inathin alivu arambam,,,,,,,,,,,,,,,
8 min 30 sec la adhu yenna homosexual people India fullah  soldra apdi irundha yepdi population?,,,,,,,,,,,,,,,
Endi thevidiya punda sunni... Unga amma kuda poiyu padu,,,,,,,,,,,,,,,
But nee pesara tha paatha sema kaandu mayru aaguthu... 700 crore population irukara world la verum 20 crore lgbt... Periya punda mathri straight ahh thapu nu soldra paru... Unna road vechu burn pannanum di.... Kena koothi,,,,,,,,,,,,,,,
Ada chi saniyane po mental koodhi ....aambalaimga maathi maathi pool eh sappikonga pombalainga maathi maathi koodhi eh nakkikonga......vidhai epdi poda mudiyum kolandhai epdi porakum....idha ulagathila namba Onnu eh epdi vittu povom arivuketta naaye..; ; Idhalam oru pozhappu idhuku otha Periya pool Maari explanation chi thoo...; ; Naadu nakkinu dhaan po podhu,,,,,,,,,,,,,,,
Bro neenga nallavara kettavara..enaku oru doubt ithe marra uyiranagal gay lesbian pannungala ..ithu thappu ila natural ah kolantha porakurathu thanah nallathu,,,,,,,,,,,,,,,
un appavo ammavo lgbt ya irundhirundalo illai un unarvugal madhiri anaivarum possitivagovo illai negativagovo future la marianal neengal punidhama ninaikra indha manidha sorry lgbt community eppidiuruvagum; ; nammaku irukum indha vinodhamana against nature unarvugalukaga sooriyana matumo illa chandrana mattumey podbumnu sollamudiyathu thozhiye.....,,,,,,,,,,,,,,,
Ellam ok di, nee ethana ponnu sootha nakkuna, ethana ponnu koothiya naakku pootta nu solludi, vaala palam, carrot thaana😹😹😹😹,,,,,,,,,,,
Apdina malini yum avanga amma vum sex vechu kaalam  malini avanga appa kooda yum malini sex vechukalam appram moonu per sendhum group sex vechukkalam enna karuma di ithu ithellam oru topic nu kamma veri puducha katteriya interview pannitu irukeenga,,,,,,,,,,,,,,,
Iva anaa allathu pennna or shemale???,,,,,,,,,,,,,,,
Naatuku Rombae mukkiyam...; Unnae podi nu solradhah illae poda nu solradhah.....nu therilae....; Confused,,,,,,,,,,,,,,,
evan epdi irupaan nu ini epdi theriyum? enna nu kalyanam panni vaazhradhu. mudiyala da saami,,,,,,,,,,,,,,,
Aids idhu Nala Thana vardhu,,,,,,,,,,,,,,,
Ithu homo sexual vachukitta varakoodya deseas..,,,,,,,,,,,,,,,
Kalli kalam ivungula mari aaluga naala tamil culture eh spoil aaga poguthu,,,,,,,,,,,,,,,
Poi treatment edu....vekam illaama. PesrA,,,,,,,,,,,,,,,
Neenga paiyana illa ponna?,,,,,,,,,,,,,,,
@weird தமிழன்  dai naye nalaki un kolandhainga generation la un ponu oru ponna love panran marriage pani veinu sona panni vepiya un family eh una kaari thuppun apa ne thukku potutu sathudu apa feel panuvan en Indian court itha allow panuchinu,,,,,,,,,,,,,,,
unga getup layae therithu unga amma appa ungala ponna valakala nu..... athoda velipaadu thaan ithu.... penmai izhantha pengalukku innoru pen mel kadhal varuvathu saathiyama....aana athai yerkamal, antha pennin HARMONAL kuraipattai seri seiya vendum...,,,,,,,,,,,,,,
Podi potta thevdiya,,,,,,,,,,,,,,,
intha polapuku thuku Matti sagalam ne mudikitu podi lusu,,,,,,,,,,,,,,,
Enaku oru doubt? neenga aambalaya pombalaya,,,,,,,,,,,,,,,
Onna acid  berella mukkuvendi,,,,,,,,,,,,,,,
worlds comes to end soon.... ivala madhiri koothiyelam mudhala tamil natta vitu veliya thorathuna pothum... un amma vera oruthi koda pooi iruntha ne irunthiruka mata,,,,,,,,,,,,,,,
Avan avan pundai poi parungadaw apuram vandhu adthavan pundai nakkalam,,,,,,,,,,,,,,,
@weird தமிழன்  yeppadi internet is nt nature....adala nallada vida keduthalanudu sollumbodu inda homosexuals nala keduthal varada..!?,,,,,,,,,,,,,,,
gaynu solringalae neenga payyanathan marriage pannibingala sollunga bro,,,,,,,,,,,,,,,
Gay love la yethu true,,,,,,,,,,,,,,,
Eallaamay pitthallaatum,poiyum,veshammumthaan!!!; Semmariaattu🐑porvaielae ohnaiyaa🐺irukkuthengga!!!; Yaarummay ullaththa parkamaataangga!!!; Eallaamay veyli thottratthaiyum vayasum parkuraangga!!!; Idhuvaa Gay Love???👈😬😔😪,,,,,,,,,,,,,
Appo transgender ellaam ugly ah?,,,,,,,,,,,,,,,
Neengalum transgender ah,,,,,,,,,,,,,,,
@Deepak Saravanan  poi oombu da Thevudiya Paiyaaa,,,,,,,,,,,,,,,
@Karthik Raja  dei unna maari aalunga lam innum irukeengala 🗣💦🌊 da ...... ninga setha ellam seri aagidum da,,,,,,,,,,,,,,,
But Okka mudiyadhu..oomba dhan mudiyum 😝,,,,,,,,,,,,,,,
Transgender kita mogatha katti interview yeduthurkar ivarthanda ambala anchor indha mohatha katama interview yedukravangalla potta pasanga anchor velaya kevala paduthra potta naigal,,,,,,,,,,,,,,,
ADI arivu ketta mundamea payan ponoda saerathu matum than nature ithu asinga pidicha 1ru seyal,,,,,,,,,,,,,,,
Satan deceived u but one day u know that time no use kettu pona kedu ketta janmam nengalum kettu aduthavanayum kedukkathinga ungal prathipalam aids than dont spread aids,,,,,,,,,,,,,,,
nee pen thane yen aan vedathil irukiray ungaluke therium aan pen seruvathe iyarkai sudanthirathai thappa use pannatheenga pavam unga Amma APPA  unga parents lpgt ya irunthiruntha   un kevalamana petcha avasiyame irunthirukathu ungala uruvakurathukum aan pen than,,,,,,,,,,,,,,,
Ungaluku oru payan poranthu avan inoru payana kalyanam panra nelama varumbothu than therium adhoda Vali... Encourage pannathinga.. naadu nasama poirum...,,,,,,,,,,,,,,,
paiyan avanye mariyadhe kuduthu pesuran ..Iva edho don Mari panitiruka,,,,,,,,,,,,,,,
ambalaiya iruka asai padurala illa ambulaiya nadikirala,,,,,,,,,,,,,,,
Shunmuga Ganesh appa avana nee,,,,,,,,,,,,,,,
Idhu mutrilum kevalamanadhu.. Iyarkaiku ediranadu.. Idhu naatukum en ulagathukume kedu.,,,,,,,,,,,,,,,
Otha ni ambalaya pombalaya....?,,,,,,,,,,,,,,,
Punda Maari pesaathaa..poi treatment eduthuko,,,,,,,,,,,,,,,
a ethu padu kavalam d pu,,,,,,,,,,,,,,,
Nega pantrathu Thappu Atha sarinu vatham panathiga.. Kadavula Vida Nega unarvue padaithavargal Ella.. Athuku than aanuku pen Apdinu vechu erukaru ellana.. Pen ellamalo aan ellamalo padaichu erukalam...,,,,,,,,,,,,,,,
Ohh idhu ponna....; Pakka payan maari iruku,,,,,,,,,,,,,,,
enaku oru kelvi ,athaigam arivu padaitha ulakam therunja arivu jeevikal , nenga atharikara intha visiyathuku unga ammavo appavavo appati irunthiruntha ippa petitu iruka mantinga madam...nenga upgrade pantra melai nattu kalasaram, ungalai mattum malla oru samukathaiye alikarathu...,,,,,,,,,,,,
media nalla visiyankaluku eppavum irantam tharama than pakkarathu.ithu pola visiyankaluku  highlight panni society melum kelaiye poyutu iruku.pls nall visiyankaluku support pannunga,,,,,,,,,,,,,,,
Sistr kalacharatha kochcha paduththatjinga plz....; ; Ovvoru uyirayum aan pen jodiyaga padaithirukirean...hindu....yatharma weatham ; Naaam ovvoru aathumawayum emmai tharisikka jodiyaka boomiyil vithaithom.....karthar...yokan subisesam; Oru thuli vinthil irunthu name ummai padaithom aan pen jodiyaga emmai wali paduwathatkaha ...Al kuran ....; ; ; Ipdi wetham matham ethulayime oarina serkai I'lla apdi irukrapo puthusa onga moahathukaha ipdi watha thiramaya  mun waikayhinga sis,,,,,,,,,,,,,,,
Appo thappu illana ni oru naikittayo illa pannikkittayo sex vachikko,,,,,,,,,,,,,,,
Pappa onuku mudumai varumbodu ne vartha paduwa illa munadia noie vandu saguwa,,,,,,,,,,,,,,,
Lol who solra pathiume poi etha yepo nenga purinjuka poringalo theriyala .... eniku solra athe WHO naliku enonu solum... it's a imbalance in natural ...,,,,,,,,,,,,,,,
Ivalum avala irrupalo,,,,,,,,,,,,,,,
Podi paithiyakari unnayella innum vittu vachurukkanuvo paru,,,,,,,,,,,,,,,
NAALIKU  IVANGA  KOLAI  PANNURATHAIUM  SARINU  PESU  VANNGA.....,,,,,,,,,,,,,,,
Ava oru nay bro athan,,,,,,,,,,,,,,,
naye unna mari aaluga eruntha manitha iname alinjirum,,,,,,,,,,,,,,,
Ithu unnoda unarvu na atha nee mattum vachika itha correct nu nee veliya solla unuku thaguthi illa itha accept panra ambula oruthanukku porathurukka mattanga,,,,,,,,,,,,,,,
Enga pathalu pundainga ,aambalainga Kita palagave oru paiyanuku bayama irundhuchu ithana naala ..aana ipa 377 Vera thookitinga inimel gay thayolingaluku thokku maira iruku....idhuku indha lesbian Vera supportu,,,,,,,,,,,,,,
Unga feelings nanga thappa sollala,but romba encourage panna vendam adhu iyarkai alla,,,,,,,,,,,,,,
aduthu ennada animals kooda thana we support da che di ayyo che dadi..,,,,,,,,,,,,,,,
Pannura thaapa neyapaduthatha,,,,,,,,,,,,,,,
Praveen kumar entha kovil....namaku athula irukura meaninge teriyathu; ..avanga enna sollavarangannu debate panna athuve perusa pogum...377 oru sattam irunthathe ipo than terithu..apdi irukela tamil natla ethavathu oru villagela poi gay nu solli parunga ,avangaluku puriyathu..theryathu...village people than meiyallume namma culturah protect panravanga..,,,,,,,,,,,,,,
Koiyala iva ellaraiyum homer sexualized agituva...,,,,,,,,,,,,,,,
podi...sorry poda...ayyo podi/da..,,,,,,,,,,,,,,,
Podi loosu ! Its all against nature !,,,,,,,,,,,,,,,
@John Doe  dei gay koothimagane un appanaiyum moodathaan paapiyaa appo nee.. Appo unaku unmaiyavare endha pasangalaum pudikala chinna vayasula edhu kaamamnu theriyama paartha adhu ok aana valarntha piragum appavaiye apadi dhaan paarpen nu sonna epdi,,,,,,,,,,,,,,,
